,lat,lon,cf,area,mask,restricted_area
0,41.26,-70.16,0.19747692,182.18589552817244,0.0068367124,1.245552563844735
1,41.26,-70.02,0.19740139,182.18589552817244,0.056581616,10.30837245457021
2,41.40,-70.72,0.19697815,181.79481570674233,0.03324771,6.044261180191261
3,41.40,-70.58,0.1954381,181.79481570674233,0.074511826,13.54586368261661
4,41.68,-70.86,0.19323675,181.00940218551477,0.051428556,9.30905225687762
5,41.68,-70.58,0.19320226,181.00940218551477,0.24556124,44.44889363310087
6,41.68,-70.30,0.19283254,181.00940218551477,0.019167542,3.469505401612131
7,41.68,-70.72,0.19263509,181.00940218551477,0.02321428,4.202003054535068
8,44.06,-68.62,0.19216277,174.16077218046883,0.06841838,11.915798518824264
9,43.64,-70.30,0.19118221,175.39153073782714,0.030174434,5.292340200859893
10,41.68,-70.44,0.19117709,181.00940218551477,0.049387753,8.939647647589057
11,43.22,-70.58,0.19109088,176.612864750847,0.056275487,9.938974964800668
12,42.80,-70.86,0.19107266,177.82470859197778,0.030935228,5.501047881376541
13,41.68,-70.16,0.19096771,181.00940218551477,0.0056632757,1.0251061522516312
14,41.96,-70.02,0.1908971,180.21966580160833,0.07408166,13.350971884141336
15,41.54,-71.28,0.19088368,181.40265047871512,0.0077551007,1.4067958266219582
16,42.10,-70.72,0.19033244,179.82318242602614,0.013617694,2.4487771403388328
17,41.54,-71.14,0.190123,181.40265047871512,0.02836734,5.1459107654739915
18,42.66,-70.72,0.1900183,178.2265363422834,0.037449002,6.674405963331058
19,42.24,-70.86,0.18992992,179.42562541549046,0.030969381,5.556700614296229
20,42.66,-70.86,0.18973878,178.2265363422834,0.030357122,5.41044478246067
21,42.52,-70.86,0.1897319,178.62729999041667,0.0074489713,1.3305896259368863
22,44.34,-68.20,0.18965004,173.33506325561575,0.18399668,31.893075715723608
23,43.08,-70.86,0.18960385,177.01787038764436,0.043571413,7.712918661741063
24,41.68,-71.00,0.18925343,181.00940218551477,0.11479956,20.779799566813626
25,42.94,-70.86,0.18903261,177.42181913861378,0.022806108,4.046301168458093
26,41.12,-73.38,0.18902189,182.575887608062,,
27,43.92,-69.60,0.18875045,174.5720681325521,0.12379241,21.610697014805815
28,41.82,-70.58,0.18869667,180.61507317503157,0.10500002,18.964586128337444
29,42.10,-70.86,0.18853362,179.82318242602614,0.006783128,1.2197636250523702
30,41.54,-71.00,0.18853344,181.40265047871512,0.025539577,4.6329469612283285
31,41.82,-70.86,0.18847655,180.61507317503157,0.029183686,5.27101354259444
32,41.96,-70.72,0.18820575,180.21966580160833,0.02515304,4.533072622355647
33,41.40,-71.56,0.18810557,181.79481570674233,0.010174692,1.8497061983101388
34,43.50,-70.86,0.18771246,175.79969249841446,0.26816326,47.143019315017405
35,41.68,-71.14,0.1876689,181.00940218551477,0.03250003,5.882810749749767
36,43.92,-69.46,0.18763852,174.5720681325521,0.088775516,15.49772535020303
37,41.68,-71.56,0.1876084,181.00940218551477,0.061683655,11.1653214772788
38,43.36,-71.14,0.18747166,176.20680464630925,0.2805102,49.42780374827192
39,41.82,-70.72,0.18742265,180.61507317503157,0.11413264,20.61407562122341
40,41.96,-70.86,0.1873063,180.21966580160833,0.027295947,4.919266459575089
41,43.64,-70.86,0.18724602,175.39153073782714,0.35791367,62.775026966145674
42,41.54,-71.56,0.18715477,181.40265047871512,0.0928061,16.83527267393904
43,44.06,-69.46,0.18706234,174.16077218046883,0.18984693,33.063888427873124
44,43.22,-70.72,0.18697512,176.612864750847,0.29693878,52.443208056268574
45,43.22,-70.86,0.18689176,176.612864750847,0.07627553,13.471239418141613
46,43.64,-71.14,0.186763,175.39153073782714,0.24116135,42.297657706125996
47,43.36,-70.86,0.18664907,176.20680464630925,0.27321428,48.142215369202866
48,43.50,-70.72,0.18664622,175.79969249841446,0.24229592,42.59554837884737
49,44.20,-69.46,0.18662286,173.7484364008726,0.2746939,47.72763670972735
50,41.12,-73.52,0.18658614,182.575887608062,0.0017856956,0.3260249505549627
51,44.06,-69.32,0.18644717,174.16077218046883,0.30836737,53.705499546001896
52,44.20,-69.18,0.18639314,173.7484364008726,0.26678574,46.35360532714525
53,41.12,-73.66,0.18637137,182.575887608062,0.017755091,3.241651533638067
54,44.06,-69.60,0.18629825,174.16077218046883,0.29445016,51.28166790325724
55,43.50,-71.14,0.18624963,175.79969249841446,0.3811735,67.01018259037347
56,44.34,-68.34,0.18603738,173.33506325561575,0.20919836,36.26141021385249
57,44.20,-69.32,0.18599552,173.7484364008726,0.24484694,42.54177298959044
58,41.68,-71.28,0.18597262,181.00940218551477,0.008010209,1.449923071283647
59,44.48,-68.06,0.18590297,172.92065521274407,0.46377552,80.1963660216297
60,43.50,-71.00,0.18582648,175.79969249841446,0.2914697,51.24028243433664
61,43.64,-70.72,0.18560882,175.39153073782714,0.2624358,46.02901560842216
62,41.68,-70.02,0.18559551,181.00940218551477,0.013265312,2.401146143877342
63,41.40,-71.70,0.18552878,181.79481570674233,0.084053636,15.280515192879923
64,41.68,-71.70,0.18542047,181.00940218551477,0.1434738,25.970107490785892
65,43.78,-71.28,0.1854012,174.98232180147855,0.6621939,115.87222512247637
66,43.36,-70.72,0.18537039,176.20680464630925,0.22959185,40.455645638631246
67,43.64,-71.00,0.18532996,175.39153073782714,0.23839349,41.81219834785866
68,41.40,-71.98,0.18522067,181.79481570674233,0.04881811,8.874879568691528
69,43.22,-71.14,0.18512136,176.612864750847,0.21622449,38.1880268901042
70,43.92,-70.72,0.185046,174.5720681325521,0.3417347,59.657334615721965
