,lat,lon,cf,area,mask,restricted_area
0,45.58,-69.40,0.7208179,31.156322305827164,0.99620104,31.03796063256241
1,45.04,-70.36,0.7155765,31.454581893424084,0.9365868,29.459946114003458
2,45.94,-68.92,0.7139234,30.95594344242413,0.9815696,30.38541265663849
3,45.40,-70.60,0.70679164,31.25605098030781,0.9800832,30.633531312982317
4,45.46,-70.12,0.70653635,31.222842316366826,0.93278784,29.124287505501204
5,43.60,-72.82,0.7024755,32.23621016542052,0.7147541,23.040963532942182
6,45.94,-68.98,0.69743645,30.95594344242413,0.9934602,30.753497094084643
7,44.02,-71.80,0.69025195,32.0103168101614,0.90194446,28.8715278612631
8,44.56,-70.96,0.6871145,31.717356781377678,0.96782535,30.696862027781822
9,45.04,-70.30,0.686415,31.454581893424084,0.6863853,21.58996180937879
10,43.30,-72.94,0.68256134,32.39650274116038,0.016662188,0.5397966151440454
11,45.22,-70.84,0.68053406,31.35547116991944,0.70017534,21.954327842279998
12,44.92,-72.52,0.67200834,31.5204833002992,0.845082,26.637392595475198
13,43.00,-73.06,0.6718856,32.55590714965131,0.006010929,0.19569125039743204
14,44.80,-71.32,0.6677888,31.586246442794923,0.79694444,25.172483464456054
15,45.46,-70.60,0.66500556,31.222842316366826,0.990941,30.93999421514115
16,45.16,-70.84,0.6648051,31.388542511245628,0.8178684,25.671697404259145
17,44.68,-71.38,0.663965,31.651871032441683,0.76916665,24.34556355722951
18,44.56,-72.76,0.6621302,31.717356781377678,0.87213117,27.661695442331663
19,45.46,-70.42,0.6602635,31.222842316366826,0.91437757,28.549466690487368
20,44.98,-71.20,0.6588969,31.48754986185601,0.7911111,24.910150574062126
21,44.44,-72.82,0.65644664,31.78270340235014,0.8994894,28.588204901827634
22,45.76,-70.18,0.65595,31.056286130760103,0.99064875,30.76587092608713
23,45.52,-69.10,0.655453,31.189599412721627,0.98513675,30.726020516917107
24,44.32,-72.88,0.6546518,31.847910608716553,0.98032784,31.2213935626856
25,45.76,-70.24,0.65060025,31.056286130760103,0.9770181,30.342554224583928
26,46.42,-68.92,0.65011674,30.686871971925903,0.9872176,30.294620256564105
27,45.22,-71.08,0.64983064,31.35547116991944,1.2974596,40.68245715580735
28,44.14,-71.62,0.6495352,31.945459390354667,0.9816667,31.359793193400176
29,45.76,-70.36,0.6480572,31.056286130760103,0.9574835,29.735880623455056
30,45.76,-69.46,0.6473611,31.056286130760103,0.9893709,30.72618521670857
31,44.26,-71.32,0.6470081,31.8804618420139,0.9147222,29.161766327307916
32,42.64,-73.18,0.6465956,32.74601390761334,0.8361286,27.37987851826836
33,44.20,-71.56,0.64654285,31.912978114445977,0.94777775,30.246410532726628
34,44.44,-71.38,0.6465387,31.78270340235014,0.9611111,30.546709928417805
35,44.20,-71.50,0.645143,31.912978114445977,0.94666666,30.210952336025137
36,44.14,-72.94,0.64512366,31.945459390354667,0.25437158,8.126017089537914
37,45.10,-71.08,0.6432468,31.421579431156854,1.1593585,36.42887524200566
38,45.46,-70.66,0.6432098,31.222842316366826,0.7322608,22.863264218781993
39,44.62,-70.90,0.6427053,31.68463127996612,0.9890012,31.336138817005587
40,45.22,-70.72,0.6421867,31.35547116991944,0.80439955,25.222326897901134
41,45.40,-70.54,0.64187235,31.25605098030781,0.89567506,27.995265435082956
42,46.06,-68.86,0.6415904,30.888878520651335,0.9887963,30.542808598866262
43,44.92,-70.54,0.63945055,31.5204833002992,0.81618935,25.72668273550675
44,44.80,-70.72,0.6381044,31.586246442794923,0.8882283,28.05579789388401
45,44.80,-70.78,0.6374983,31.586246442794923,0.98751485,31.19188752786014
46,46.12,-69.76,0.6363569,30.85529523116192,0.9769141,30.142973211641642
47,45.76,-70.30,0.6362737,31.056286130760103,0.9748685,30.275794342652034
48,45.46,-69.70,0.6356522,31.222842316366826,0.9129164,28.503845488701362
49,43.06,-73.00,0.63517225,32.524097531452135,0.029781422,0.9686138622552785
50,44.92,-71.80,0.6342766,31.5204833002992,0.95555556,30.119573014897778
51,43.66,-71.92,0.6329153,32.20404545649199,0.93777776,30.200237535275544
52,44.86,-70.60,0.632671,31.553382172638063,0.8641146,27.265737663790194
53,44.20,-72.34,0.63165987,31.912978114445977,0.9945355,31.73858982972971
54,46.06,-68.92,0.6313433,30.888878520651335,0.98626536,30.46463093460159
55,44.86,-70.66,0.6312134,31.553382172638063,0.9006033,28.4170799332742
56,44.02,-72.94,0.6310376,32.0103168101614,0.062295083,1.9940853411545316
57,45.46,-70.48,0.63064605,31.222842316366826,0.9763296,30.483785919333936
58,42.82,-73.06,0.6289847,32.65112165546491,0.21065573,6.87814599639367
59,45.28,-70.72,0.62891924,31.32236544344512,0.912332,28.576396258012018
60,43.96,-71.44,0.6282084,32.04269288293525,0.99083334,31.748968478292696
61,42.94,-73.06,0.62767667,32.587681066275984,0.0,0.0
62,45.34,-70.60,0.62737226,31.28922536812718,0.93192625,29.159250477046704
63,44.98,-70.30,0.6270391,31.48754986185601,0.62302744,19.617607704658926
64,43.24,-72.10,0.62663144,32.42845481643487,0.80722225,26.176970167672522
65,44.80,-70.54,0.6265818,31.586246442794923,0.97077733,30.663212074354934
66,44.68,-70.84,0.62511116,31.651871032441683,0.9241597,29.251383816261274
67,43.24,-72.94,0.6249855,32.42845481643487,0.11065574,3.588394661638198
68,44.02,-71.86,0.62441653,32.0103168101614,0.9522222,30.48093519356568
69,44.02,-72.88,0.62432384,32.0103168101614,0.013333334,0.4268042344702879
70,43.12,-73.00,0.6243163,32.49225224656163,0.0,0.0
