,lat,lon,capacity
0,41.26,-70.16,4372.461492676139
1,41.26,-70.02,4372.461492676139
2,41.4,-70.72,4363.075576961816
3,41.4,-70.58,4363.075576961816
4,41.68,-70.86,4344.2256524523555
5,41.68,-70.58,4344.2256524523555
6,41.68,-70.3,4344.2256524523555
7,41.68,-70.72,4344.2256524523555
15,41.54,-71.28,4353.663611489163
10,41.68,-70.44,3817.71061520525
