prod_solar-UPV,load_solar-UPV,prod_wind-onshore,load_wind-onshore,prod_ng,load_ng,prod_CCGT,load_CCGT,sLev,sCh,sDis,demand
0.0,0.0,40926.462046826935,18789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18789.0
0.0,0.0,40657.71425373148,18730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18730.0
0.0,0.0,40620.01311282131,18245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18245.0
0.0,0.0,40485.27751301732,17526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17526.0
0.0,0.0,39867.11167033867,16327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16327.0
0.0,0.0,39255.03173041843,14624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14624.0
0.0,0.0,38961.201447940606,13148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13148.0
0.0,0.0,38078.15883958497,12267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12267.0
0.0,0.0,37726.95546391939,11805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11805.0
0.0,0.0,37268.30223942149,11652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11652.0
0.0,0.0,37000.46485273341,11657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11657.0
0.0,0.0,36763.43003273278,12020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12020.0
0.0,0.0,36717.39979502005,13190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13190.0
0.0,0.0,36747.23677258592,15370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15370.0
3755.083859656009,0.0,36818.22513916396,16596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16596.0
17916.25452144642,0.0,37924.94214019136,16715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16715.0
24667.954504529225,16721.0,37747.41244432954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16721.0
14629.199512823036,0.0,37599.488864447005,16702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16702.0
15972.28697760328,0.0,37972.43825592695,16528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16528.0
26816.36194642381,16265.0,38398.58966601135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16265.0
32529.461593425716,0.0,38903.10814774837,16094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16094.0
25351.31931659603,15874.0,39610.79885891277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15874.0
19758.68363152576,15968.0,40299.83922091601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15968.0
0.0,0.0,41316.918183940754,17188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17188.0
0.0,0.0,41966.07193566662,18559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18559.0
0.0,0.0,41875.35128509308,18495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18495.0
0.0,0.0,42290.6926998072,17995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17995.0
0.0,0.0,42064.24756605326,17243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17243.0
0.0,0.0,42155.378952397965,15982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15982.0
0.0,0.0,41797.577000933794,14321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14321.0
0.0,0.0,41149.54423514138,12821.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12821.0
0.0,0.0,40574.844841107406,11816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11816.0
0.0,0.0,40091.56260976588,11326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11326.0
