prod_solar-UPV,load_solar-UPV,prod_wind-onshore,load_wind-onshore,prod_ng,load_ng,prod_CCGT,load_CCGT,sLev,sCh,sDis,demand
0.0,0.0,43254.900891217876,18789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18789.0
0.0,0.0,42530.76288937008,18730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18730.0
0.0,0.0,41809.46791433038,18245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18245.0
0.0,0.0,40418.965050934385,17526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17526.0
0.0,0.0,38969.0934430025,16327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16327.0
0.0,0.0,37144.28031848342,14624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14624.0
0.0,0.0,35600.82884613177,13148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13148.0
0.0,0.0,35245.391793288014,12267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12267.0
0.0,0.0,34618.90923839094,11805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11805.0
0.0,0.0,34799.52434998386,11652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11652.0
0.0,0.0,34616.95838941186,11657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11657.0
0.0,0.0,33979.672839214436,12020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12020.0
0.0,0.0,34368.949887928706,13190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13190.0
0.0,0.0,35301.81723793845,15370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15370.0
751.9189636807641,751.9189636807641,36665.19115739393,15844.081036319236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16596.0
17437.200789074996,16715.0,37763.81741879446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16715.0
25886.129761383352,16721.0,34449.24946809904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16721.0
27950.22120258616,16702.0,31269.859593684145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16702.0
19709.977538631527,16528.0,31396.150963550506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16528.0
22957.552942639973,16265.0,33000.71643960817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16265.0
16463.6565859344,16094.0,34603.04047098074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16094.0
17015.75609261987,15874.0,37073.13387120092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15874.0
10716.708439731605,10716.708439731605,41597.29694433103,5251.291560268395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15968.0
0.0,0.0,44341.597206625775,17188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17188.0
0.0,0.0,44391.79223913427,18559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18559.0
0.0,0.0,44020.13502079773,18495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18495.0
0.0,0.0,44481.30082058608,17995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17995.0
0.0,0.0,44361.07064195022,17243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17243.0
0.0,0.0,44359.19957495608,15982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15982.0
0.0,0.0,43677.489002108465,14321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14321.0
0.0,0.0,42796.11656884037,12821.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12821.0
0.0,0.0,41258.27913087214,11816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11816.0
0.0,0.0,39988.965140937,11326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11326.0
0.0,0.0,39022.6722973857,11098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11098.0
0.0,0.0,37399.23459339667,11085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11085.0
0.0,0.0,36794.52201599721,11420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11420.0
0.0,0.0,35829.244273690056,21626.91463805441,0.0,0.0,0.0,0.0,7666.077442346252,9018.914638054413,0.0,12608.0
0.0,0.0,34501.096534725315,14835.0,0.0,0.0,0.0,0.0,7666.077442346252,0.0,0.0,14835.0
66.10502014177428,66.10502014177428,35443.184476716415,15993.894979858225,0.0,0.0,0.0,0.0,7666.077442346252,0.0,0.0,16060.0
8574.922557653748,8574.922557653748,35843.86722511694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7666.077442346252,16241.0
12382.305129060023,12382.305129060023,33126.1534199454,3927.6948709399767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16310.0
24703.350666890296,16348.0,29350.567190511636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16348.0
29245.763242259232,16244.0,26791.12625993175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16244.0
29528.397325519927,16052.0,26844.156116636066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16052.0
29510.236869638793,15889.0,29134.15691922739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15889.0
26717.633708995007,15650.0,32490.387119638628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15650.0
16145.035891055795,15626.0,37477.397584729435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15626.0
0.0,0.0,42188.6835441306,16773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16773.0
0.0,0.0,43538.85281425196,18189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18189.0
0.0,0.0,43673.50416892655,18132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18132.0
